¸ñÍø±àºÅ,wkt×ø±ê
216,"MULTIPOLYGON (((425943.69714851433 4397540.4441694766, 426943.69714851433 4397540.4441694766, 426943.69714851433 4398540.4441694766, 425943.69714851433 4398540.4441694766, 425943.69714851433 4397540.4441694766)))"
217,"MULTIPOLYGON (((426943.69714851433 4397540.4441694766, 427943.69714851433 4397540.4441694766, 427943.69714851433 4398540.4441694766, 426943.69714851433 4398540.4441694766, 426943.69714851433 4397540.4441694766)))"
218,"MULTIPOLYGON (((427943.69714851433 4397540.4441694766, 428943.69714851433 4397540.4441694766, 428943.69714851433 4398540.4441694766, 427943.69714851433 4398540.4441694766, 427943.69714851433 4397540.4441694766)))"
219,"MULTIPOLYGON (((428943.69714851433 4397540.4441694766, 429943.69714851433 4397540.4441694766, 429943.69714851433 4398540.4441694766, 428943.69714851433 4398540.4441694766, 428943.69714851433 4397540.4441694766)))"
220,"MULTIPOLYGON (((429943.69714851433 4397540.4441694766, 430943.69714851433 4397540.4441694766, 430943.69714851433 4398540.4441694766, 429943.69714851433 4398540.4441694766, 429943.69714851433 4397540.4441694766)))"
221,"MULTIPOLYGON (((430943.69714851433 4397540.4441694766, 431943.69714851433 4397540.4441694766, 431943.69714851433 4398540.4441694766, 430943.69714851433 4398540.4441694766, 430943.69714851433 4397540.4441694766)))"
222,"MULTIPOLYGON (((431943.69714851433 4397540.4441694766, 432943.69714851433 4397540.4441694766, 432943.69714851433 4398540.4441694766, 431943.69714851433 4398540.4441694766, 431943.69714851433 4397540.4441694766)))"
223,"MULTIPOLYGON (((432943.69714851433 4397540.4441694766, 433943.69714851433 4397540.4441694766, 433943.69714851433 4398540.4441694766, 432943.69714851433 4398540.4441694766, 432943.69714851433 4397540.4441694766)))"
224,"MULTIPOLYGON (((433943.69714851433 4397540.4441694766, 434943.69714851433 4397540.4441694766, 434943.69714851433 4398540.4441694766, 433943.69714851433 4398540.4441694766, 433943.69714851433 4397540.4441694766)))"
225,"MULTIPOLYGON (((434943.69714851433 4397540.4441694766, 435943.69714851433 4397540.4441694766, 435943.69714851433 4398540.4441694766, 434943.69714851433 4398540.4441694766, 434943.69714851433 4397540.4441694766)))"
226,"MULTIPOLYGON (((435943.69714851433 4397540.4441694766, 436943.69714851433 4397540.4441694766, 436943.69714851433 4398540.4441694766, 435943.69714851433 4398540.4441694766, 435943.69714851433 4397540.4441694766)))"
227,"MULTIPOLYGON (((436943.69714851433 4397540.4441694766, 437943.69714851433 4397540.4441694766, 437943.69714851433 4398540.4441694766, 436943.69714851433 4398540.4441694766, 436943.69714851433 4397540.4441694766)))"
228,"MULTIPOLYGON (((437943.69714851433 4397540.4441694766, 438943.69714851433 4397540.4441694766, 438943.69714851433 4398540.4441694766, 437943.69714851433 4398540.4441694766, 437943.69714851433 4397540.4441694766)))"
